text,speaker,episode,season,preface,scene,scene_id,action,action_id,character,count
"How…?
How
did this happen? Nezuko, don’t die! Don’t die on me! I’m gonna save you no matter
what! I won’t let you die!
I swear your big brother will save you no matter
what!",Tanjirou,1,1,Thoughts," A young boy,
Tanjirou, carries his sister,
Nezuko, on his back through
the snow. Nezuko
is bleeding from a wound on her head.",1,,,Tanjirou,5290
"Tanjirou?
Your face is covered
in soot. Come over here.",Kie,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Zenitsu,1021
"It’s dangerous with all this snow. You don’t have to go, you know.",Kie,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Inosuke,941
"Well, I want everyone
to eat their fill on New Year’s,
so I’m gonna sell as much charcoal
as I can.",Tanjirou,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Uzui,501
Thank you.,Kie,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Tokitou,440
Big Bro!,Shigeru,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Nezuko,420
Hmm?,Tanjirou,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Daki,348
You’re going to town again today?,Shigeru,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Genya,272
I’m going with you!,Hanako,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Kanroji,272
"Oh no, you’re not. You know you can’t
walk fast like Tanjirou.",Kie,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Kotetsu,223
Mom!,Shigeru,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Shinobu,209
"You may not.
Since he can’t use the cart today, he won’t be able to give you a ride when you’re
tired.",Kie,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Tamayo,207
I wanna go with you! I promise I’ll help you!,Hanako,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Akaza,203
"Thanks, Hanako. But you’re
staying home today.",Tanjirou,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Gyokko,198
What~?,Hanako,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Slayer,172
"You too, Shigeru. But I’ll get you tons of goodies,
okay?",Tanjirou,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Tomioka,152
Really?,Shigeru,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Rui,151
"Yeah.
And Hanako, I’ll read for you when I’m
back.",Tanjirou,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Iguro,147
Yeah!,Hanako,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Slayers,146
That’s a good girl.,Tanjirou,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Enmu,131
"Thank you so much,
Tanjirou.",Kie,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Demon,128
"Sure.
Okay, I’ll be heading
out now.
Takeo, will you chop as much wood as you can?",Tanjirou,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Gotou,113
"Sure, I’ll do it, but… I was hoping
we could do it together.",Takeo,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Crow,111
"There, there.",Tanjirou,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Kagaya,96
What’s with that all of a sudden?,Takeo,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Man,86
"You’re blushing, Take!",Shigeru,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Aoi,86
"Hey, you shut up!",Takeo,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Fuku,70
I said cut it out!,Takeo,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Father,68
"Hurry back, okay?",Shigeru,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Murata,67
"Be safe, okay?",Hanako,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Kakushi,67
Big Brother!,Nezuko,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Kiyo,67
"Hey, Nezuko.",Tanjirou,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Yahaba,66
"I was putting Rokuta
down for a nap, or he’d make a scene when you
leave.
He misses Dad a lot since he passed
away.",Nezuko,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Mother,63
"And everyone follows you wherever you go.
See you later.",Nezuko,1,1,," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Suma,63
"We don’t have an easy life, but we’re happy.
But
life could change suddenly like the weather. It shifts and moves on. (Thoughts)
It’s not like it always stays sunny, and it’s not like it ever snows endlessly.
(Thoughts) And… whenever
happiness is destroyed, there’s always… the smell of blood.
Woman 1         Well now,
Tanjirou!
I can’t believe
you came down from the mountain on a day like this. You’re such a hard worker!
You might catch a cold, you
know?",Tanjirou,1,1,Thoughts," At a small cabin in the mountains,
during the morning. Tanjirou takes up a basket
of charcoal on his back and is
preparing to leave the house.",1,,,Douma,63
"This is nothing, really.
Do you have enough
charcoal?",Tanjirou,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Rengoku,62
"Hey, Tanjirou!",Man 1,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Sister,61
Can I have some charcoal?,Man 1,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Slasher,59
"Thanks for fixing my sliding doors the other day.
Woman 2         I’ll need some charcoal, too!",Man 2,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Makio,56
"Ah, Tanjirou! Oh man, perfect
timing!",Boy,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Brother,55
"I’ve been accused of breaking this plate!
Help me out, will you? Sniff it!",Boy,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Kyougai,54
I smell a cat.,Tanjirou,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Boy,50
"You see?!
Woman 3         Oh my, so it was
a cat?",Boy,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Sekido,50
I told you it wasn’t me!,Boy,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Karaku,49
Tanjirou! Can you give me a hand with this luggage?,Man 3,1,1,," In town during the morning.
Tanjirou has made it down the mountain.
He speaks to townsfolk
down the street.",1,,,Kazumi,47
"Jeez, it’s late already.
I’m glad they’re sold out, though.",Tanjirou,1,1,, At night. Tanjirou is making his way back up the mountain.,1,,,Girl,47
Are you gonna go back to the mountain? You’d better not. It’s too dangerous.,Saburou,1,1,, At night. Tanjirou is making his way back up the mountain.,1,,,Owner,47
"I’ve got a great sense of smell,
so I’ll be fine. Saburou       I’ll put you up for the night. Come on. Get back here. Tanjirou    But…",Tanjirou,1,1,, At night. Tanjirou is making his way back up the mountain.,1,,,Y.Genya,47
"Don’t argue!
Come on!
Before the demons show
up.",Saburou,1,1,, At night. Tanjirou is making his way back up the mountain.,1,,,Kanao,46
"Thanks for the meal!
Hey, Old Man Saburo,
what are demons
like?",Tanjirou,1,1,," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Kie,45
"Man-eating demons have always
prowled the land once it gets dark.
That’s why you should never stroll
around at night.
If you’re done eating,
go to bed. You can set off for home at first light.",Saburou,1,1,," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Woman,45
"These demons wouldn’t come inside your house, would
they?",Tanjirou,1,1,," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Tecchin,45
"Yes, they’d come in.",Saburou,1,1,," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Urogi,44
"Then, everyone would get eaten up by the demons.",Tanjirou,1,1,," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Sabito,43
"That’s why the demon hunters protect
us by slaying them since way back when.
Lights out now. Go to sleep.",Saburou,1,1,," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Demons,42
"Old Man Saburo
is all alone after losing
his whole family,
so he must be lonely.
I’ll bring my brothers and sisters next time and say, “You don’t have to be scared. There are no demons. You’re
safe.”
But, come to think of it, my grandma used to say the same thing when she
was alive.",Tanjirou,1,1,Thoughts," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Himejima,38
